epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,683.694,0.82796,0.99266,1.21356,0.91925,1,0.995,0.6301,1.51586,0.53526,2.19519,0.000297125,0.000297125,0.000297125
79,689.339,0.7445,0.89226,1.17111,0.93245,1,0.995,0.63011,1.49781,0.57116,2.2022,0.00028475,0.00028475,0.00028475
80,695.044,0.68386,0.86249,1.15396,0.96477,1,0.995,0.6385,1.4414,0.54668,2.10633,0.000272375,0.000272375,0.000272375
81,700.106,0.61989,1.10153,1.06658,0.97095,1,0.995,0.66333,1.39237,0.52324,2.08415,0.00026,0.00026,0.00026
82,705.207,0.69316,0.82217,1.22442,0.97093,1,0.995,0.63853,1.4456,0.52839,2.20177,0.000247625,0.000247625,0.000247625
83,710.284,0.62351,0.80083,1.0941,0.97144,1,0.995,0.63017,1.52002,0.51351,2.32855,0.00023525,0.00023525,0.00023525
84,715.365,0.67523,0.84827,1.15736,0.96221,1,0.995,0.66333,1.5054,0.48803,2.38529,0.000222875,0.000222875,0.000222875
85,720.451,0.67609,0.81514,1.1417,0.96205,1,0.995,0.66333,1.45309,0.5034,2.35939,0.0002105,0.0002105,0.0002105
86,725.437,0.62401,0.80052,1.1013,0.96339,1,0.995,0.67167,1.38662,0.5174,2.28113,0.000198125,0.000198125,0.000198125
87,730.509,0.68935,0.78329,1.16934,0.95659,1,0.995,0.71322,1.28118,0.55104,2.14315,0.00018575,0.00018575,0.00018575
88,735.508,0.66484,0.91596,1.16125,0.96184,1,0.995,0.71322,1.2882,0.57987,2.12918,0.000173375,0.000173375,0.000173375
89,740.473,0.62912,0.81108,1.0939,0.96705,1,0.995,0.68006,1.30445,0.56667,2.11093,0.000161,0.000161,0.000161
90,745.673,0.6056,0.82082,1.13018,0.96849,1,0.995,0.70487,1.30783,0.56136,2.10825,0.000148625,0.000148625,0.000148625
91,795.772,0.55706,0.94996,1.11685,0.96919,1,0.995,0.67169,1.33062,0.54828,2.20326,0.00013625,0.00013625,0.00013625
92,800.599,0.58923,0.94441,1.11393,0.96988,1,0.995,0.66333,1.40785,0.55752,2.3801,0.000123875,0.000123875,0.000123875
93,805.54,0.74984,1.03767,1.22037,0.97046,1,0.995,0.67163,1.39611,0.51975,2.4186,0.0001115,0.0001115,0.0001115
94,810.211,0.55336,0.9375,1.12731,0.97087,1,0.995,0.67163,1.37382,0.52585,2.39339,9.9125e-05,9.9125e-05,9.9125e-05
95,815.062,0.55458,0.95221,1.02462,0.96717,1,0.995,0.67164,1.36497,0.52221,2.36722,8.675e-05,8.675e-05,8.675e-05
96,819.871,0.50548,0.88381,1.04083,0.96264,1,0.995,0.67164,1.38301,0.52888,2.32595,7.4375e-05,7.4375e-05,7.4375e-05
97,824.794,0.44353,0.87495,1.00706,0.95807,1,0.995,0.67165,1.41727,0.52556,2.36559,6.2e-05,6.2e-05,6.2e-05
98,830.168,0.52784,0.88668,1.08321,0.95216,1,0.995,0.67165,1.44388,0.52454,2.39598,4.9625e-05,4.9625e-05,4.9625e-05
99,835.396,0.48689,0.86873,1.05432,0.94979,1,0.995,0.67166,1.46289,0.53709,2.45874,3.725e-05,3.725e-05,3.725e-05
100,840.825,0.45433,0.85513,1.01134,0.94952,1,0.995,0.67166,1.4672,0.53852,2.48947,2.4875e-05,2.4875e-05,2.4875e-05
